Ensembl_ID	Gene_Symbol	Chromosome	Start	End	Length	GC_Content	Strand	Biotype	Description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	weight	WT4	WT1	WT2	KO5	KO4	KO3	wild_type	knock_out
ENSMUSG00000028214	Gem	4	11704457	11714752	2104	45.46	1	protein_coding	GTP binding protein (gene overexpressed in skeletal muscle) [Source:MGI Symbol;Acc:MGI:99844]	245	-0.14	0.19	-0.728386285789196	0.4663772	0.7290879	1.529	274.2	278.6	225	179.2	257.3	255.6	259.3	230.7
ENSMUSG00000060121	Gemin2	12	59060179	59075256	2415	40.98	1	protein_coding	gem nuclear organelle associated protein 2 [Source:MGI Symbol;Acc:MGI:1913853]	403.6	0.23	0.2	1.17017589922832	0.2419302	0.6349372	1.104	390.9	347.5	359	576.3	407.4	340.4	365.8	441.4
ENSMUSG00000049396	Gemin4	11	76101397	76108490	3734	49.7	-1	protein_coding	gem nuclear organelle associated protein 4 [Source:MGI Symbol;Acc:MGI:2449313]	19.6	-0.22	0.28	-0.764817263222798	0.4443804	1	0.41	14.8	30.4	21.5	17.2	19.8	14.1	22.3	17
ENSMUSG00000037275	Gemin5	11	58010828	58059365	6618	45.71	-1	protein_coding	gem nuclear organelle associated protein 5 [Source:MGI Symbol;Acc:MGI:2449311]	901.3	-0.01	0.18	-0.0652497233211544	0.9479752	1	0.583	894.1	886.4	934.2	1122.5	806.4	764.5	904.9	897.8
ENSMUSG00000055760	Gemin6	17	80531870	80535926	1428	41.71	1	protein_coding	gem nuclear organelle associated protein 6 [Source:MGI Symbol;Acc:MGI:1914492]	629.5	0.36	0.24	1.51683818671924	0.1293075	0.4611645	1.269	578.9	530.9	476.3	1155.4	566.8	468.8	528.7	730.3
ENSMUSG00000044709	Gemin7	7	19298871	19311520	1782	49.98	-1	protein_coding	gem nuclear organelle associated protein 7 [Source:MGI Symbol;Acc:MGI:1916981]	1292	0.32	0.14	2.19749487745921	0.02798512	0.2301683	1.561	1165.7	1128.2	1125.6	1455	1571.1	1306.4	1139.8	1444.2
ENSMUSG00000051235	Gen1	12	11288921	11315802	7763	38.2	-1	protein_coding	GEN1, Holliday junction 5' flap endonuclease [Source:MGI Symbol;Acc:MGI:2443149]	155.1	0.04	0.21	0.177794136692182	0.8588847	0.9201568	1.601	145.4	148.1	163.5	200.7	118.8	154.3	152.4	157.9
ENSMUSG00000023147	Get1	16	95946607	95959052	4368	50.1	1	protein_coding	guided entry of tail-anchored proteins factor 1 [Source:MGI Symbol;Acc:MGI:2136882]	625.3	0.05	0.16	0.320033003587554	0.7489433	0.9594187	1.269	692.1	558.9	588	663.7	581.4	667.9	613	637.7
ENSMUSG00000052456	Get3	8	85744560	85751910	1881	51.63	-1	protein_coding	guided entry of tail-anchored proteins factor 3, ATPase [Source:MGI Symbol;Acc:MGI:1928379]	486.7	0.21	0.17	1.21022391724905	0.226193	0.5438706	1.51	389.1	464.4	489.8	544.7	576.2	455.9	447.8	525.6
ENSMUSG00000025858	Get4	5	139238079	139255806	2431	50.54	1	protein_coding	golgi to ER traffic protein 4 [Source:MGI Symbol;Acc:MGI:1914854]	1645.9	0.48	0.16	2.96681080875473	0.003009061	0.07746173	1.51	1426	1364.4	1249.3	2196.2	2029.5	1610.3	1346.6	1945.3
ENSMUSG00000020932	Gfap	11	102778162	102791738	4218	50.78	-1	protein_coding	glial fibrillary acidic protein [Source:MGI Symbol;Acc:MGI:95697]	9.2	-0.04	0.27	-0.165602160494883	0.86847	1	0.027	11.3	7.2	10.4	4.3	3.1	18.8	9.6	8.8
ENSMUSG00000040888	Gfer	17	24912161	24915130	2231	53.37	-1	protein_coding	growth factor, augmenter of liver regeneration [Source:MGI Symbol;Acc:MGI:107757]	803.9	0.21	0.17	1.2481848845463	0.2119634	0.5283202	1.51	705.2	759.1	749.9	1040.7	843.9	724.5	738	869.7
ENSMUSG00000029275	Gfi1	5	107864523	107873902	3187	53.24	-1	protein_coding	growth factor independent 1 transcription repressor [Source:MGI Symbol;Acc:MGI:103170]	36.7	0.44	0.28	1.57141963330273	0.1160852	0.3823286	1.775	22.6	22.4	34.3	86	33.3	21.2	26.5	46.9
ENSMUSG00000026815	Gfi1b	2	28499462	28511994	1830	51.93	-1	protein_coding	growth factor independent 1B [Source:MGI Symbol;Acc:MGI:1276578]	18.6	-0.2	0.28	-0.716014880209263	0.4739822	0.7936985	1.265	5.2	18.4	42.3	11.5	7.3	27.1	22	15.3
ENSMUSG00000027774	Gfm1	3	67337429	67383862	4419	43	1	protein_coding	G elongation factor, mitochondrial 1 [Source:MGI Symbol;Acc:MGI:107339]	705.1	-0.14	0.15	-0.943611032475261	0.3453685	0.9607536	0.583	710.4	752.7	760.3	702.4	626.2	678.5	741.1	669
ENSMUSG00000021666	Gfm2	13	97274445	97317703	10685	42.17	1	protein_coding	G elongation factor, mitochondrial 2 [Source:MGI Symbol;Acc:MGI:2444783]	527.1	-0.01	0.17	-0.0580775900502707	0.9536868	0.984315	1.529	556.3	509.2	520.9	597.8	426.1	552.5	528.8	525.5
ENSMUSG00000051335	Gfod1	13	43348721	43457648	7208	47.53	-1	protein_coding	glucose-fructose oxidoreductase domain containing 1 [Source:MGI Symbol;Acc:MGI:2145304]	36.2	-0.04	0.26	-0.161143736892617	0.8719802	0.9262758	1.601	29.6	46.4	35.1	30.1	39.6	36.5	37	35.4
ENSMUSG00000013150	Gfod2	8	106440486	106485296	4608	46.06	-1	protein_coding	glucose-fructose oxidoreductase domain containing 2 [Source:MGI Symbol;Acc:MGI:1917825]	426.8	0.24	0.16	1.48253404389018	0.1381983	0.4375417	1.529	356.9	383.5	422	417.2	498	483	387.5	466
ENSMUSG00000029992	Gfpt1	6	87019828	87069179	10072	42.76	1	protein_coding	glutamine fructose-6-phosphate transaminase 1 [Source:MGI Symbol;Acc:MGI:95698]	931.3	-0.02	0.19	-0.101237873796827	0.9193616	0.9584976	1.561	692.1	1129	994	903.1	1018.9	850.5	938.4	924.2
ENSMUSG00000020363	Gfpt2	11	49685005	49729440	5591	45.51	1	protein_coding	glutamine fructose-6-phosphate transaminase 2 [Source:MGI Symbol;Acc:MGI:1338883]	217.4	-0.3	0.22	-1.34042145666143	0.1801084	0.7277138	0.594	248.1	225	261.7	119	210.5	240.3	244.9	189.9
ENSMUSG00000025089	Gfra1	19	58224036	58444341	5476	46.01	-1	protein_coding	glial cell line derived neurotrophic factor family receptor alpha 1 [Source:MGI Symbol;Acc:MGI:1100842]	310.5	-0.09	0.21	-0.414698649178814	0.6783625	0.8549548	1.51	298.6	285.8	379.7	322.5	212.5	364	321.4	299.7
ENSMUSG00000022103	Gfra2	14	71127560	71217278	3539	47.07	1	protein_coding	glial cell line derived neurotrophic factor family receptor alpha 2 [Source:MGI Symbol;Acc:MGI:1195462]	133	-0.22	0.22	-0.981009558946979	0.326588	0.6585721	1.355	129.7	135.3	172.3	84.6	151.1	124.9	145.8	120.2
ENSMUSG00000024366	Gfra3	18	34822951	34853440	1997	46.48	-1	protein_coding	glial cell line derived neurotrophic factor family receptor alpha 3 [Source:MGI Symbol;Acc:MGI:1201403]	745.7	0.39	0.22	1.71736693153465	0.08591215	0.36032	1.529	739.1	571.7	560	507.5	1053.3	1042.5	623.6	867.8
ENSMUSG00000027316	Gfra4	2	130881552	130885008	2165	58.14	-1	protein_coding	glial cell line derived neurotrophic factor family receptor alpha 4 [Source:MGI Symbol;Acc:MGI:1341873]	200	-0.23	0.24	-0.932991907037325	0.3508241	0.6349372	1.601	224.6	205	232.9	93.2	250	194.4	220.8	179.2
ENSMUSG00000022570	Gfus	15	75796525	75801681	2906	54.76	-1	protein_coding	GDP-L-fucose synthase [Source:MGI Symbol;Acc:MGI:98857]	1119.1	0.3	0.15	1.98258109277213	0.04741424	0.2829565	1.529	1014.2	931.2	1030.7	1404.9	1206.5	1127.3	992	1246.2
ENSMUSG00000033128	Gga1	15	78761390	78778785	3765	56.17	1	protein_coding	golgi associated, gamma adaptin ear containing, ARF binding protein 1 [Source:MGI Symbol;Acc:MGI:2146207]	554.2	0.13	0.15	0.833584479859208	0.4045152	0.7426319	1.269	502.3	516.4	562.4	633.6	569.9	540.7	527.1	581.4
ENSMUSG00000030872	Gga2	7	121585945	121620445	9769	47.64	-1	protein_coding	golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:MGI Symbol;Acc:MGI:1921355]	1196.1	0.52	0.17	3.01961189635023	0.002530988	0.066939	1.731	1098.7	948.8	835.3	1446.4	1628.4	1219.2	960.9	1431.4
ENSMUSG00000020740	Gga3	11	115475081	115494877	6245	49.85	-1	protein_coding	golgi associated, gamma adaptin ear containing, ARF binding protein 3 [Source:MGI Symbol;Acc:MGI:2384159]	408.1	-0.13	0.17	-0.752001520133579	0.4520501	0.7196132	1.529	372.6	489.2	422.8	361.2	394.9	407.6	428.2	387.9
ENSMUSG00000041625	Ggact	14	123053635	123151169	5462	42.56	-1	protein_coding	gamma-glutamylamine cyclotransferase [Source:MGI Symbol;Acc:MGI:2385008]	114.4	0.5	0.24	2.07276870917076	0.03819381	0.2820399	1.239	84.4	86.5	95.7	203.6	94.8	121.3	88.9	139.9
ENSMUSG00000002797	Ggct	6	54959565	54969935	7745	43.86	-1	protein_coding	gamma-glutamyl cyclotransferase [Source:MGI Symbol;Acc:MGI:95700]	162.9	0.3	0.22	1.38239386917525	0.1668508	0.475299	1.529	145.4	150.5	130	250.9	151.1	149.6	142	183.8
ENSMUSG00000053460	Ggcx	6	72391291	72407695	3244	47.64	1	protein_coding	gamma-glutamyl carboxylase [Source:MGI Symbol;Acc:MGI:1927655]	889.7	-0.17	0.18	-0.975767168444515	0.3291799	0.6254444	1.561	1036.9	910.4	903.1	643.7	880.4	963.6	950.1	829.2
ENSMUSG00000073987	Ggh	4	20042052	20066750	1965	39.75	1	protein_coding	gamma-glutamyl hydrolase [Source:MGI Symbol;Acc:MGI:1329035]	795.9	0.22	0.23	0.977976499473255	0.3280859	0.6329446	1.51	736.5	716.6	700.4	1354.7	608.4	658.5	717.9	873.9
ENSMUSG00000031493	Ggn	7	28869635	28873401	2800	60.1	1	protein_coding	gametogenetin [Source:MGI Symbol;Acc:MGI:2181461]	9.5	0.04	0.28	0.134774395561415	0.8927903	1	0.027	9.6	8.8	9.6	4.3	16.7	8.2	9.3	9.7
ENSMUSG00000048731	Ggnbp1	17	27236961	27256598	5705	54.11	1	protein_coding	gametogenetin binding protein 1 [Source:MGI Symbol;Acc:MGI:3055306]	30.7	-0.08	0.28	-0.299344328226171	0.7646773	0.9093951	1.466	33.1	24	39.1	41.6	30.2	16.5	32.1	29.4
ENSMUSG00000020530	Ggnbp2	11	84723187	84761643	4726	39.37	-1	protein_coding	gametogenetin binding protein 2 [Source:MGI Symbol;Acc:MGI:2387356]	1609.8	0.11	0.14	0.757066605663123	0.44901	0.7169074	1.529	1661.1	1482.9	1498.2	1671.5	1732.6	1612.6	1547.4	1672.3
ENSMUSG00000021302	Ggps1	13	14225244	14238073	4721	40.94	-1	protein_coding	geranylgeranyl diphosphate synthase 1 [Source:MGI Symbol;Acc:MGI:1341724]	556.5	-0.16	0.17	-0.932650173142939	0.3510006	0.5627157	2.172	610.3	554.9	608.7	463	470.9	631.4	591.3	521.8
ENSMUSG00000006345	Ggt1	10	75397438	75422034	3411	50.78	1	protein_coding	gamma-glutamyltransferase 1 [Source:MGI Symbol;Acc:MGI:95706]	231.9	0.35	0.28	1.27163119164481	0.2035042	0.5611191	1.269	199.4	211.4	150	547.6	142.7	140.2	186.9	276.8
ENSMUSG00000006344	Ggt5	10	75425174	75453034	5922	47.45	1	protein_coding	gamma-glutamyltransferase 5 [Source:MGI Symbol;Acc:MGI:1346063]	85.6	-0.15	0.24	-0.625796983294315	0.5314481	0.8091666	1.355	107.1	68.9	98.1	64.5	75	100.1	91.4	79.9
ENSMUSG00000040471	Ggt6	11	72326352	72329226	1818	56.77	1	protein_coding	gamma-glutamyltransferase 6 [Source:MGI Symbol;Acc:MGI:1918772]	4.5	0.01	0.25	0.0566384077583942	0.9548332	1	0	4.4	6.4	2.4	7.2	2.1	4.7	4.4	4.7
ENSMUSG00000027603	Ggt7	2	155332299	155360157	3264	48.8	-1	protein_coding	gamma-glutamyltransferase 7 [Source:MGI Symbol;Acc:MGI:1913385]	93	-0.32	0.22	-1.42571226437197	0.1539514	0.4845362	1.355	118.4	93.7	104.5	76	66.7	98.9	105.5	80.5
ENSMUSG00000035778	Ggta1	2	35290191	35353243	4709	47.96	-1	protein_coding	glycoprotein galactosyltransferase alpha 1, 3 [Source:MGI Symbol;Acc:MGI:95704]	787.6	-0.42	0.15	-2.72486903530362	0.0064327	0.1839669	0.583	923.7	908	901.5	609.2	628.2	755.1	911	664.2
ENSMUSG00000017747	Ghdc	11	100656858	100661783	2692	53.78	-1	protein_coding	GH3 domain containing [Source:MGI Symbol;Acc:MGI:1931556]	276	-0.11	0.21	-0.528101339476031	0.597429	0.8119456	1.51	350.8	226.6	288	219.3	252.1	319.2	288.5	263.6
ENSMUSG00000041028	Ghitm	14	36842049	36857229	3756	40.22	-1	protein_coding	growth hormone inducible transmembrane protein [Source:MGI Symbol;Acc:MGI:1913342]	2733.6	-0.03	0.15	-0.187465787845039	0.8512954	1	1.153	3000	2671.9	2615.1	3054.8	2450.5	2609.2	2762.3	2704.8
ENSMUSG00000055737	Ghr	15	3347242	3612974	9053	39.29	-1	protein_coding	growth hormone receptor [Source:MGI Symbol;Acc:MGI:95708]	1971.1	-0.38	0.15	-2.55563447725256	0.01059944	0.1698141	1.153	2163.4	2272.4	2320.7	1674.4	1491.9	1903.6	2252.2	1690
ENSMUSG00000064177	Ghrl	6	113693080	113696841	1079	49.1	-1	protein_coding	ghrelin [Source:MGI Symbol;Acc:MGI:1930008]	2535.7	0.78	0.23	3.39523363867261	0.0006857006	0.04121168	1.153	2353.2	1528.5	1213.4	2246.3	4398.7	3473.8	1698.4	3373
ENSMUSG00000018415	Gid4	11	60307971	60341753	4864	44.25	1	protein_coding	GID complex subunit 4, VID24 homolog [Source:MGI Symbol;Acc:MGI:1914021]	470.6	-0.05	0.16	-0.29708349071176	0.7664028	0.8954991	1.529	432.7	490	513.8	503.2	431.3	452.3	478.8	462.3
ENSMUSG00000027573	Gid8	2	180351910	180360526	2464	45.32	1	protein_coding	GID complex subunit 8 [Source:MGI Symbol;Acc:MGI:1923675]	440.9	0.09	0.17	0.490382867796297	0.623863	0.8052046	1.614	389.1	432.4	457.1	514.6	473	379.3	426.2	455.6
ENSMUSG00000029714	Gigyf1	5	137516810	137526197	5505	58.39	1	protein_coding	GRB10 interacting GYF protein 1 [Source:MGI Symbol;Acc:MGI:1888677]	685.5	-0.36	0.15	-2.39511143307592	0.01661531	0.1783862	1.614	731.3	807.1	797	539	628.2	610.2	778.5	592.5
ENSMUSG00000048000	Gigyf2	1	87254720	87378518	14216	39.42	1	protein_coding	GRB10 interacting GYF protein 2 [Source:MGI Symbol;Acc:MGI:2138584]	881.5	-0.26	0.17	-1.52171571830599	0.1280803	0.4594566	1.269	989	957.6	957.3	834.3	637.6	912.9	968	795
ENSMUSG00000090019	Gimap1	6	48715988	48720729	3073	51.01	1	protein_coding	GTPase, IMAP family member 1 [Source:MGI Symbol;Acc:MGI:109368]	42	0.72	0.27	2.71552193081981	0.006617139	0.1161593	1.529	37.4	16	27.9	47.3	58.3	64.8	27.1	56.8
ENSMUSG00000044867	Gimap1os	6	48715280	48718378	3099	44.34	-1	lncRNA	GTPase, IMAP family member 1, opposite strand [Source:MGI Symbol;Acc:MGI:3781523]	3	0.14	0.22	0.653997374327389	0.5131135	1	0	2.6	3.2	0.8	2.9	7.3	1.2	2.2	3.8
ENSMUSG00000054435	Gimap4	6	48661483	48668994	1837	43.48	1	protein_coding	GTPase, IMAP family member 4 [Source:MGI Symbol;Acc:MGI:1349656]	39.9	1.44	0.27	5.26679954510192	1.388226e-07	5.812973e-05	1.775	9.6	14.4	16	77.4	38.5	83.6	13.3	66.5
ENSMUSG00000043505	Gimap5	6	48723131	48731144	4149	46.32	1	protein_coding	GTPase, IMAP family member 5 [Source:MGI Symbol;Acc:MGI:2442232]	20	0.9	0.28	3.19966115664304	0.001375892	0.05208036	1.466	13.9	6.4	8.8	22.9	30.2	37.7	9.7	30.3
ENSMUSG00000047867	Gimap6	6	48678516	48685159	3496	43.56	-1	protein_coding	GTPase, IMAP family member 6 [Source:MGI Symbol;Acc:MGI:1918876]	120.6	0.38	0.25	1.52963627272136	0.1261068	0.4113844	1.601	127.1	86.5	87	81.7	164.6	176.7	100.2	141
ENSMUSG00000064262	Gimap8	6	48624168	48637809	3700	42.83	1	protein_coding	GTPase, IMAP family member 8 [Source:MGI Symbol;Acc:MGI:2685303]	6.5	0.09	0.27	0.339238277343663	0.7344302	1	0.075	7	6.4	4	11.5	5.2	4.7	5.8	7.1
ENSMUSG00000051124	Gimap9	6	48653063	48656048	1642	44.31	1	protein_coding	GTPase, IMAP family member 9 [Source:MGI Symbol;Acc:MGI:3511744]	98.5	-0.18	0.21	-0.885888479016951	0.3756776	0.626275	1.775	112.3	111.3	94.1	91.7	89.6	91.9	105.9	91.1
ENSMUSG00000091721	Gimd1	3	132335581	132351112	1562	40.5	1	protein_coding	GIMAP family P-loop NTPase domain containing 1 [Source:MGI Symbol;Acc:MGI:3647547]	7.1	0.25	0.27	0.939247209029514	0.3476038	1	0.031	7.8	2.4	5.6	4.3	8.3	14.1	5.3	8.9
ENSMUSG00000026333	Gin1	1	97697897	97721434	6048	40.42	1	protein_coding	gypsy retrotransposon integrase 1 [Source:MGI Symbol;Acc:MGI:2182036]	187.5	0.14	0.19	0.705542200266339	0.4804729	0.7243144	1.601	192.4	160.1	178.7	226.5	163.6	203.8	177.1	198
ENSMUSG00000040006	Ginm1	10	7643711	7668588	2996	43.91	-1	protein_coding	glycoprotein integral membrane 1 [Source:MGI Symbol;Acc:MGI:2384905]	959.7	0.15	0.14	1.0512457997655	0.2931457	0.6055272	1.51	936.7	892.8	890.3	1007.8	955.4	1075.5	906.6	1012.9
ENSMUSG00000027454	Gins1	2	150747320	150773200	1516	41.08	1	protein_coding	GINS complex subunit 1 (Psf1 homolog) [Source:MGI Symbol;Acc:MGI:1916520]	332.1	0.4	0.18	2.1800811591659	0.02925145	0.2369838	1.51	304.7	276.2	261.7	458.7	363.6	327.5	280.9	383.3
ENSMUSG00000031821	Gins2	8	121305372	121316043	4097	52.33	-1	protein_coding	GINS complex subunit 2 (Psf2 homolog) [Source:MGI Symbol;Acc:MGI:1921019]	1071.8	0.33	0.18	1.82424267879398	0.06811539	0.3297033	1.51	931.5	972	896.7	1521	1153.3	956.5	933.4	1210.3
ENSMUSG00000031669	Gins3	8	96360081	96371688	2709	43.49	1	protein_coding	GINS complex subunit 3 (Psf3 homolog) [Source:MGI Symbol;Acc:MGI:1926083]	299.4	0.21	0.18	1.16567110275961	0.2437474	0.5598456	1.529	297.7	255.4	272.8	345.5	274	351	275.3	323.5
ENSMUSG00000031546	Gins4	8	23716632	23727675	1349	47.19	-1	protein_coding	GINS complex subunit 4 (Sld5 homolog) [Source:MGI Symbol;Acc:MGI:1923847]	831.1	0.04	0.16	0.281087962552175	0.7786429	0.9755884	1.269	896.7	792.7	761.1	947.6	833.5	755.1	816.8	845.4
ENSMUSG00000014351	Gip	11	95915371	95921657	687	48.94	1	protein_coding	gastric inhibitory polypeptide [Source:MGI Symbol;Acc:MGI:107504]	132.5	0.2	0.28	0.73333019416102	0.4633571	0.7277138	1.529	220.3	79.3	50.3	215	93.8	136.6	116.6	148.5
ENSMUSG00000019433	Gipc1	8	84379306	84391323	1729	53.23	1	protein_coding	GIPC PDZ domain containing family, member 1 [Source:MGI Symbol;Acc:MGI:1926252]	2666.4	0.26	0.13	1.92231276603539	0.05456641	0.3468843	1.058	2422	2373.3	2442.7	2960.2	3083.9	2716.4	2412.7	2920.2
ENSMUSG00000039131	Gipc2	3	151799170	151871867	3839	45.51	-1	protein_coding	GIPC PDZ domain containing family, member 2 [Source:MGI Symbol;Acc:MGI:1889209]	41	0.55	0.27	2.02083324358741	0.04329703	0.2725921	1.529	33.1	33.6	20.7	74.5	53.1	30.6	29.2	52.8
ENSMUSG00000034872	Gipc3	10	81171099	81179100	3521	54.45	-1	protein_coding	GIPC PDZ domain containing family, member 3 [Source:MGI Symbol;Acc:MGI:2387006]	6.1	-0.45	0.27	-1.70837078544893	0.08756756	1	0.031	9.6	10.4	7.2	2.9	2.1	4.7	9.1	3.2
ENSMUSG00000030406	Gipr	7	18889986	18900052	3482	51.9	-1	protein_coding	gastric inhibitory polypeptide receptor [Source:MGI Symbol;Acc:MGI:1352753]	324.4	0.36	0.24	1.53423132723782	0.1249728	0.4553753	1.269	339.5	241.8	235.3	207.9	461.5	460.6	272.2	376.7
ENSMUSG00000011877	Git1	11	77384388	77398612	4838	55.81	1	protein_coding	GIT ArfGAP 1 [Source:MGI Symbol;Acc:MGI:1927140]	629.7	0.22	0.16	1.42449820926395	0.1543023	0.3950881	2.172	589.4	566.9	575.2	759.8	678.3	609	577.2	682.3
ENSMUSG00000041890	Git2	5	114865468	114913578	17362	49.59	-1	protein_coding	GIT ArfGAP 2 [Source:MGI Symbol;Acc:MGI:1347053]	1150.3	-0.02	0.17	-0.101851549025217	0.9188745	0.9583857	1.561	1217.1	1076.9	1181.5	916	1152.3	1358.2	1158.5	1142.2
ENSMUSG00000050953	Gja1	10	56253426	56278609	10257	42.42	1	protein_coding	gap junction protein, alpha 1 [Source:MGI Symbol;Acc:MGI:95713]	1256.6	-0.24	0.14	-1.73710237345585	0.0823691	0.3537397	1.529	1436.5	1317.1	1351.4	1172.6	1088.7	1173.3	1368.3	1144.9
ENSMUSG00000050234	Gja4	4	127205214	127207832	1685	56.97	-1	protein_coding	gap junction protein, alpha 4 [Source:MGI Symbol;Acc:MGI:95715]	20.8	-0.26	0.28	-0.929022897888918	0.3528772	0.6121181	1.775	44.4	13.6	16	14.3	18.8	17.7	24.7	16.9
ENSMUSG00000057123	Gja5	3	96812009	96984732	5746	45.5	1	protein_coding	gap junction protein, alpha 5 [Source:MGI Symbol;Acc:MGI:95716]	10.8	-0.16	0.27	-0.598283639909858	0.5496507	1	0.031	2.6	8.8	26.3	5.7	10.4	10.6	12.6	8.9
ENSMUSG00000046352	Gjb2	14	57336057	57342159	2406	48.8	-1	protein_coding	gap junction protein, beta 2 [Source:MGI Symbol;Acc:MGI:95720]	163.3	0.02	0.25	0.0958120565462347	0.9236698	1	0.773	171.5	168.1	134.8	397.1	62.5	45.9	158.2	168.5
ENSMUSG00000042367	Gjb3	4	127219028	127224637	1966	52.32	-1	protein_coding	gap junction protein, beta 3 [Source:MGI Symbol;Acc:MGI:95721]	7.9	0.62	0.27	2.27463977867377	0.02292755	0.7304026	0.075	2.6	5.6	2.4	12.9	15.6	8.2	3.5	12.3
ENSMUSG00000042357	Gjb5	4	127248602	127251974	1721	52.62	-1	protein_coding	gap junction protein, beta 5 [Source:MGI Symbol;Acc:MGI:95723]	17	-0.01	0.28	-0.0318002455815713	0.9746314	1	1.265	16.5	9.6	25.5	4.3	28.1	17.7	17.2	16.7
ENSMUSG00000040055	Gjb6	14	57360760	57371068	2674	45.69	-1	protein_coding	gap junction protein, beta 6 [Source:MGI Symbol;Acc:MGI:107588]	9.5	0.14	0.27	0.530946616966419	0.5954558	1	0.03	1.7	12	10.4	18.6	6.3	8.2	8	11
ENSMUSG00000034520	Gjc1	11	102690405	102710526	5003	43.98	-1	protein_coding	gap junction protein, gamma 1 [Source:MGI Symbol;Acc:MGI:95718]	315.7	-0.05	0.18	-0.252936292279403	0.8003174	0.79305	2.144	287.3	349.1	328.7	276.7	369.9	282.7	321.7	309.7
ENSMUSG00000043448	Gjc2	11	59066394	59074039	2250	54.66	-1	protein_coding	gap junction protein, gamma 2 [Source:MGI Symbol;Acc:MGI:2153060]	25.6	0.1	0.27	0.363775065682625	0.716026	0.8189489	1.775	22.6	25.6	24.7	18.6	30.2	31.8	24.3	26.9
ENSMUSG00000056966	Gjc3	5	137951723	137961360	4356	43.3	-1	protein_coding	gap junction protein, gamma 3 [Source:MGI Symbol;Acc:MGI:2153041]	4.6	0.15	0.23	0.646103768208994	0.5182122	1	0	0	3.2	7.2	7.2	3.1	7.1	3.5	5.8
ENSMUSG00000068615	Gjd2	2	113840082	113844100	2879	47.57	-1	protein_coding	gap junction protein, delta 2 [Source:MGI Symbol;Acc:MGI:1334209]	136.4	0.59	0.23	2.62758778127186	0.008599265	0.2096923	0.594	108	116.9	83	120.4	179.2	210.9	102.6	170.2
ENSMUSG00000047197	Gjd3	11	98873006	98873842	837	70.25	-1	protein_coding	gap junction protein, delta 3 [Source:MGI Symbol;Acc:MGI:2384150]	6.3	0.4	0.25	1.59850488084257	0.1099307	1	0.005	0.9	1.6	7.2	8.6	13.5	5.9	3.2	9.3
ENSMUSG00000041440	Gk5	9	96001415	96066661	8493	44.29	1	protein_coding	glycerol kinase 5 (putative) [Source:MGI Symbol;Acc:MGI:2443336]	181	-0.01	0.24	-0.0441022497369398	0.9648229	1	1.355	157.6	187.4	199.4	275.2	114.6	152	181.5	180.6
ENSMUSG00000021552	Gkap1	13	58381160	58423513	5773	42.38	-1	protein_coding	G kinase anchoring protein 1 [Source:MGI Symbol;Acc:MGI:1891694]	228	0.22	0.23	0.962961100848835	0.335567	0.939597	0.594	171.5	211.4	235.3	335.4	255.3	159	206.1	249.9
ENSMUSG00000030049	Gkn2	6	87350339	87356479	788	44.23	1	protein_coding	gastrokine 2 [Source:MGI Symbol;Acc:MGI:1913534]	1.9	-0.16	0.13	-1.24879167916593	0.2117413	1	0	0	11.2	0	0	0	0	3.7	0
ENSMUSG00000045594	Glb1	9	114230144	114303966	3008	49.04	1	protein_coding	galactosidase, beta 1 [Source:MGI Symbol;Acc:MGI:88151]	1064.5	0.19	0.18	1.04126897165094	0.2977507	0.6060587	1.529	1084.7	985.7	880.7	1456.5	968.9	1010.7	983.7	1145.4
ENSMUSG00000026200	Glb1l	1	75174880	75187457	5905	46.19	-1	protein_coding	galactosidase, beta 1-like [Source:MGI Symbol;Acc:MGI:1921827]	220.8	-0.3	0.21	-1.4013642712823	0.1611052	0.4592501	1.601	269.9	219.4	255.3	136.2	196.9	247.4	248.2	193.5
ENSMUSG00000036395	Glb1l2	9	26674340	26717764	9043	44.25	-1	protein_coding	galactosidase, beta 1-like 2 [Source:MGI Symbol;Acc:MGI:2388283]	324	0.02	0.23	0.103571098077632	0.9175097	0.9669892	1.529	410	292.3	260.1	226.5	288.6	466.5	320.8	327.2
ENSMUSG00000029638	Glcci1	6	8509600	8597548	7756	37.19	1	protein_coding	glucocorticoid induced transcript 1 [Source:MGI Symbol;Acc:MGI:2179717]	29.6	0.22	0.28	0.77223178137534	0.4399772	0.7242822	1.466	18.3	36.8	21.5	50.2	18.8	31.8	25.6	33.6
ENSMUSG00000032252	Glce	9	61964530	62029937	6828	39.09	-1	protein_coding	glucuronyl C5-epimerase [Source:MGI Symbol;Acc:MGI:2136405]	353.6	-0.12	0.19	-0.630253362362895	0.5285288	0.7710172	1.51	292.5	369.9	448.3	324	321.9	365.2	370.3	337
ENSMUSG00000024827	Gldc	19	30075847	30152829	6091	44.72	-1	protein_coding	glycine decarboxylase [Source:MGI Symbol;Acc:MGI:1341155]	32.2	0.46	0.26	1.74685480732003	0.08066253	0.3574119	1.466	20.9	26.4	27.1	44.4	37.5	36.5	24.8	39.5
